model,temperature,qid,avg_similarity,std_similarity,min_similarity,stability_score
meta-llama/llama-3.1-8b-instruct,0.1,Q13,0.8464914,0.037173327,0.7750472,0.80931807
meta-llama/llama-3.1-8b-instruct,0.1,Q2,0.8127149,0.05389224,0.73678887,0.7588226
meta-llama/llama-3.1-8b-instruct,0.1,Q3,0.8917933,0.04513614,0.80833226,0.84665716
meta-llama/llama-3.1-8b-instruct,0.1,Q4,0.73679286,0.1602631,0.46650493,0.57652974
meta-llama/llama-3.1-8b-instruct,0.1,Q5,0.8588728,0.042287048,0.79307455,0.8165857
meta-llama/llama-3.1-8b-instruct,0.1,Q6,0.9093487,0.035886493,0.8561215,0.87346226
meta-llama/llama-3.1-8b-instruct,0.1,Q7,0.82764256,0.043793466,0.77307916,0.7838491
meta-llama/llama-3.1-8b-instruct,0.1,Q8,0.9112749,0.05402328,0.8190533,0.85725164
meta-llama/llama-3.1-8b-instruct,0.1,Q9,0.911773,0.024508249,0.862805,0.8872648
meta-llama/llama-3.1-8b-instruct,0.5,Q1,0.8717539,0.03712837,0.8080832,0.8346255
meta-llama/llama-3.1-8b-instruct,0.5,Q10,0.8516184,0.066403314,0.72052944,0.7852151
meta-llama/llama-3.1-8b-instruct,0.5,Q11,0.46381718,0.26505688,-0.045086674,0.1987603
meta-llama/llama-3.1-8b-instruct,0.5,Q12,0.6573546,0.07860604,0.5352286,0.5787486
meta-llama/llama-3.1-8b-instruct,0.5,Q13,0.8637377,0.058243975,0.73777705,0.8054937
meta-llama/llama-3.1-8b-instruct,0.5,Q2,0.67544746,0.17216013,0.41733652,0.5032873
meta-llama/llama-3.1-8b-instruct,0.5,Q3,0.8811905,0.048225295,0.77386457,0.8329652
meta-llama/llama-3.1-8b-instruct,0.5,Q4,0.7424485,0.15349591,0.4704944,0.5889526
meta-llama/llama-3.1-8b-instruct,0.5,Q5,0.8228198,0.07210465,0.68965644,0.7507152
meta-llama/llama-3.1-8b-instruct,0.5,Q6,0.90081716,0.024869602,0.87183726,0.87594754
meta-llama/llama-3.1-8b-instruct,0.5,Q7,0.70047724,0.116728984,0.47326297,0.5837483
meta-llama/llama-3.1-8b-instruct,0.5,Q8,0.91673094,0.031086393,0.86429954,0.88564456
meta-llama/llama-3.1-8b-instruct,0.5,Q9,0.90109515,0.026570415,0.85271406,0.8745247
meta-llama/llama-3.1-8b-instruct,1.0,Q1,0.8849829,0.029638508,0.8335595,0.85534436
meta-llama/llama-3.1-8b-instruct,1.0,Q10,0.7837219,0.096765414,0.6375568,0.6869565
meta-llama/llama-3.1-8b-instruct,1.0,Q11,0.42006043,0.18823312,0.18923786,0.2318273
meta-llama/llama-3.1-8b-instruct,1.0,Q12,0.25478202,0.19133538,0.030999454,0.06344664
meta-llama/llama-3.1-8b-instruct,1.0,Q13,0.66583693,0.20447345,0.26504445,0.4613635
meta-llama/llama-3.1-8b-instruct,1.0,Q2,0.68475616,0.17547058,0.39806783,0.50928557
meta-llama/llama-3.1-8b-instruct,1.0,Q3,0.9001373,0.031873185,0.844417,0.86826414
meta-llama/llama-3.1-8b-instruct,1.0,Q4,0.76225406,0.15658851,0.4590587,0.60566556
meta-llama/llama-3.1-8b-instruct,1.0,Q5,0.83211654,0.050930053,0.7542349,0.78118646
meta-llama/llama-3.1-8b-instruct,1.0,Q6,0.87799925,0.032563675,0.8208072,0.84543556
meta-llama/llama-3.1-8b-instruct,1.0,Q7,0.81877047,0.042834297,0.7434571,0.7759362
meta-llama/llama-3.1-8b-instruct,1.0,Q8,0.8662613,0.03212143,0.815839,0.8341399
meta-llama/llama-3.1-8b-instruct,1.0,Q9,0.8874868,0.03902874,0.7823955,0.84845805
meta-llama/llama-3.1-8b-instruct,1.5,Q1,0.7967846,0.053077884,0.7135844,0.7437067
meta-llama/llama-3.1-8b-instruct,1.5,Q10,0.43033326,0.35424507,-0.15711047,0.07608819
meta-llama/llama-3.1-8b-instruct,1.5,Q11,0.33749306,0.21481936,0.06805109,0.122673705
meta-llama/llama-3.1-8b-instruct,1.5,Q12,0.4128764,0.14335877,0.16991368,0.26951763
meta-llama/llama-3.1-8b-instruct,1.5,Q13,0.4359843,0.18069384,0.1744084,0.25529048
meta-llama/llama-3.1-8b-instruct,1.5,Q2,0.6277614,0.14527422,0.34297565,0.4824872
meta-llama/llama-3.1-8b-instruct,1.5,Q3,0.86786306,0.039511215,0.8021651,0.82835186
meta-llama/llama-3.1-8b-instruct,1.5,Q4,0.7315415,0.18614589,0.49937403,0.5453956
meta-llama/llama-3.1-8b-instruct,1.5,Q5,0.43776986,0.21927772,0.072301716,0.21849214
meta-llama/llama-3.1-8b-instruct,1.5,Q6,0.5874285,0.17257965,0.19501184,0.41484886
meta-llama/llama-3.1-8b-instruct,1.5,Q7,0.56144786,0.21873853,0.15211543,0.34270933
meta-llama/llama-3.1-8b-instruct,1.5,Q8,0.7254059,0.041844588,0.65855837,0.68356127
meta-llama/llama-3.1-8b-instruct,1.5,Q9,0.76828617,0.0751161,0.6764581,0.6931701
meta-llama/llama-3.1-8b-instruct,2.0,Q1,0.27390558,0.28478995,-0.07741949,-0.010884374
meta-llama/llama-3.1-8b-instruct,2.0,Q10,0.5507252,0.03077169,0.4718437,0.51995355
meta-llama/llama-3.1-8b-instruct,2.0,Q11,0.28076953,0.18160623,0.036081754,0.099163294
meta-llama/llama-3.1-8b-instruct,2.0,Q12,0.29176295,0.21032697,0.056108113,0.08143598
meta-llama/llama-3.1-8b-instruct,2.0,Q13,0.38791928,0.16603136,0.11486162,0.22188792
meta-llama/llama-3.1-8b-instruct,2.0,Q2,0.49406853,0.06646605,0.38968274,0.42760247
meta-llama/llama-3.1-8b-instruct,2.0,Q3,0.35529116,0.27898893,-0.09170591,0.07630223
meta-llama/llama-3.1-8b-instruct,2.0,Q4,0.3104397,0.2832059,-0.024455924,0.02723381
meta-llama/llama-3.1-8b-instruct,2.0,Q5,0.51522595,0.052812107,0.4173866,0.46241385
meta-llama/llama-3.1-8b-instruct,2.0,Q6,0.5283116,0.047699757,0.45329732,0.48061186
meta-llama/llama-3.1-8b-instruct,2.0,Q7,0.25850478,0.22382608,-0.05358027,0.034678698
meta-llama/llama-3.1-8b-instruct,2.0,Q8,0.4049038,0.17589727,-0.04861731,0.22900653
meta-llama/llama-3.1-8b-instruct,2.0,Q9,0.31994778,0.2508228,0.0022130907,0.06912497
meta-llama/llama-3.2-1b-instruct,0.1,Q1,0.88709635,0.028610226,0.8385865,0.8584861
meta-llama/llama-3.2-1b-instruct,0.1,Q10,0.84609425,0.15928282,0.59589875,0.68681145
meta-llama/llama-3.2-1b-instruct,0.1,Q11,0.42517966,0.20719445,0.1845027,0.21798521
meta-llama/llama-3.2-1b-instruct,0.1,Q12,0.3109789,0.2531797,-0.07869555,0.05779919
meta-llama/llama-3.2-1b-instruct,0.1,Q13,0.41453168,0.25000745,0.06295061,0.16452423
meta-llama/llama-3.2-1b-instruct,0.1,Q2,0.8093089,0.05057151,0.7486973,0.7587374
meta-llama/llama-3.2-1b-instruct,0.1,Q3,0.9226622,0.030833447,0.8476857,0.8918288
meta-llama/llama-3.2-1b-instruct,0.1,Q4,0.9965008,0.004948658,0.98950243,0.9915521
meta-llama/llama-3.2-1b-instruct,0.1,Q5,0.90247494,0.03977236,0.8453502,0.8627026
meta-llama/llama-3.2-1b-instruct,0.1,Q6,0.91378087,0.030372394,0.8627132,0.8834085
meta-llama/llama-3.2-1b-instruct,0.1,Q7,0.8144452,0.08711831,0.7348181,0.72732687
meta-llama/llama-3.2-1b-instruct,0.1,Q8,0.9101766,0.041651443,0.8580488,0.86852515
meta-llama/llama-3.2-1b-instruct,0.1,Q9,0.90378296,0.030839039,0.8512043,0.87294394
meta-llama/llama-3.2-1b-instruct,0.5,Q1,0.90076923,0.03416671,0.84696937,0.86660254
meta-llama/llama-3.2-1b-instruct,0.5,Q10,0.8735616,0.11576368,0.6922234,0.75779796
meta-llama/llama-3.2-1b-instruct,0.5,Q11,0.43799788,0.18005095,0.22432837,0.2579469
meta-llama/llama-3.2-1b-instruct,0.5,Q12,0.41600218,0.3402517,-0.101610355,0.07575047
meta-llama/llama-3.2-1b-instruct,0.5,Q13,0.4810634,0.21667504,0.15596905,0.26438835
meta-llama/llama-3.2-1b-instruct,0.5,Q2,0.72842586,0.1564334,0.47842234,0.57199246
meta-llama/llama-3.2-1b-instruct,0.5,Q3,0.9169576,0.026520481,0.8747697,0.8904371
meta-llama/llama-3.2-1b-instruct,0.5,Q4,0.9965008,0.004948658,0.98950243,0.9915521
meta-llama/llama-3.2-1b-instruct,0.5,Q5,0.8447321,0.10335861,0.628266,0.7413735
meta-llama/llama-3.2-1b-instruct,0.5,Q6,0.88690454,0.042900994,0.818345,0.84400356
meta-llama/llama-3.2-1b-instruct,0.5,Q7,0.80678123,0.08912121,0.7216549,0.71766
meta-llama/llama-3.2-1b-instruct,0.5,Q8,0.9210661,0.034712493,0.87012625,0.8863536
meta-llama/llama-3.2-1b-instruct,0.5,Q9,0.901889,0.034759387,0.8515527,0.8671296
meta-llama/llama-3.2-1b-instruct,1.0,Q1,0.87782997,0.04027624,0.82321584,0.83755374
meta-llama/llama-3.2-1b-instruct,1.0,Q10,0.8599314,0.13333374,0.64350986,0.72659767
meta-llama/llama-3.2-1b-instruct,1.0,Q11,0.45149252,0.18395986,0.13085788,0.26753265
meta-llama/llama-3.2-1b-instruct,1.0,Q12,0.26876023,0.26256442,-0.106775776,0.0061958134
meta-llama/llama-3.2-1b-instruct,1.0,Q13,0.44836828,0.2189863,0.17312786,0.22938198
meta-llama/llama-3.2-1b-instruct,1.0,Q2,0.7333623,0.15436375,0.4867431,0.57899857
meta-llama/llama-3.2-1b-instruct,1.0,Q3,0.91246796,0.041504737,0.82290125,0.8709632
meta-llama/llama-3.2-1b-instruct,1.0,Q4,0.9965008,0.004948658,0.98950243,0.9915521
meta-llama/llama-3.2-1b-instruct,1.0,Q5,0.8524358,0.09036522,0.6674442,0.7620706
meta-llama/llama-3.2-1b-instruct,1.0,Q6,0.90018374,0.025425065,0.86668247,0.87475866
meta-llama/llama-3.2-1b-instruct,1.0,Q7,0.76664966,0.073697776,0.6255065,0.6929519
meta-llama/llama-3.2-1b-instruct,1.0,Q8,0.9256293,0.038606204,0.8609806,0.8870231
meta-llama/llama-3.2-1b-instruct,1.0,Q9,0.9051465,0.029734738,0.866249,0.87541175
meta-llama/llama-3.2-1b-instruct,1.5,Q1,0.880797,0.029438794,0.82798374,0.85135823
meta-llama/llama-3.2-1b-instruct,1.5,Q10,0.8399078,0.162032,0.58367896,0.6778758
meta-llama/llama-3.2-1b-instruct,1.5,Q11,0.4940626,0.1579197,0.31977236,0.3361429
meta-llama/llama-3.2-1b-instruct,1.5,Q12,0.2819474,0.26943085,-0.1036973,0.012516558
meta-llama/llama-3.2-1b-instruct,1.5,Q13,0.44705337,0.21540533,0.13471153,0.23164804
meta-llama/llama-3.2-1b-instruct,1.5,Q2,0.73386693,0.16849901,0.47842234,0.56536794
